AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,DayOfWeek,DeviceID_transaction_count,DeviceID_account_count,MerchantID_device_count,DeviceID_location_count,TransactionAmount_by_LoginAttempts,TimeSincePreviousTransaction
AC00128,14.09,2024-11-04 08:08:08,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21,2023-04-11 16:29:14,Tuesday,6,6,31,6,14.09,572.6520138888889
AC00455,376.24,2024-11-04 08:09:35,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91,2023-06-27 16:44:19,Tuesday,5,5,26,4,376.24,495.6425462962963
AC00019,126.29,2024-11-04 08:07:04,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35,2023-07-10 18:16:08,Monday,5,5,30,5,126.29,482.57703703703703
AC00070,184.5,2024-11-04 08:09:06,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06,2023-05-05 16:32:11,Friday,6,6,31,6,184.5,548.650636574074
AC00411,13.45,2024-11-04 08:06:39,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4,2023-10-16 17:51:24,Monday,3,3,30,3,13.45,384.5939236111111
AC00393,92.15,2024-11-04 08:06:36,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68,2023-04-03 17:15:01,Monday,4,4,27,4,92.15,580.6191550925926
AC00199,7.08,2024-11-04 08:10:09,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,2023-02-15 16:36:48,Wednesday,4,4,30,4,7.08,627.6481597222222
AC00069,171.42,2024-11-04 08:10:55,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24,2023-05-08 17:47:59,Monday,2,2,22,2,171.42,545.5992592592593
AC00135,106.23,2024-11-04 08:11:14,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14,2023-03-21 16:59:46,Tuesday,6,6,21,4,106.23,593.632962962963
AC00385,815.96,2024-11-04 08:06:32,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88,2023-03-31 16:06:57,Friday,4,4,29,3,815.96,583.6663773148148
AC00150,17.78,2024-11-04 08:06:45,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52,2023-03-14 16:46:10,Tuesday,3,2,23,3,17.78,600.6392939814815
AC00459,190.02,2024-11-04 08:07:12,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81,2023-02-06 17:30:00,Monday,7,7,26,6,190.02,636.6091666666666
AC00392,494.52,2024-11-04 08:08:38,Credit,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02,2023-06-07 17:21:28,Wednesday,7,7,26,7,494.52,515.616087962963
AC00264,781.76,2024-11-04 08:07:06,Debit,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69,2023-11-20 16:39:15,Monday,4,4,29,3,781.76,349.64434027777776
AC00085,166.99,2024-11-04 08:10:09,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93,2023-02-13 16:53:57,Monday,7,7,22,6,166.99,629.63625
AC00270,465.45,2024-11-04 08:12:19,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,2023-12-12 16:23:31,Tuesday,4,4,29,4,465.45,327.6588888888889
AC00317,555.8,2024-11-04 08:07:35,Credit,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26,2023-10-30 16:52:49,Monday,6,6,26,6,555.8,370.6352546296296
AC00359,492.93,2024-11-04 08:11:51,Debit,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,2023-12-14 18:32:14,Thursday,4,4,27,4,492.93,325.56917824074077
AC00242,18.68,2024-11-04 08:12:01,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37,2023-02-21 16:56:50,Tuesday,5,5,27,5,18.68,621.6355439814815
AC00285,71.48,2024-11-04 08:09:20,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59,2023-06-08 18:18:50,Thursday,6,6,25,6,71.48,514.5767361111111
AC00002,59.32,2024-11-04 08:09:24,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89,2023-02-28 16:36:58,Tuesday,1,1,26,1,59.32,614.6475231481481
AC00014,85.77,2024-11-04 08:08:13,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,2023-08-11 18:31:31,Friday,5,5,33,4,85.77,450.5671527777778
AC00095,52.2,2024-11-04 08:07:01,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,2023-06-06 18:54:15,Tuesday,9,9,17,6,52.2,516.5505324074074
AC00453,345.84,2024-11-04 08:07:04,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,1402.5,2023-05-02 18:25:46,Tuesday,5,4,22,5,1037.52,551.5703472222223
AC00241,145.54,2024-11-04 08:07:09,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96,2023-03-02 16:43:56,Thursday,2,2,33,2,145.54,612.6411226851852
AC00041,7.49,2024-11-04 08:09:44,Credit,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,3634.67,2023-10-20 17:53:13,Friday,6,6,23,6,7.49,380.59480324074076
